CRN|Course Code|Course Number|Course Name|Academician|Exam Type|Exam Location|Day|Time|Date|Branch Code
30011|IKZ|517|Yönetimsel Karar Verme|Yusuf İlker Topcu|Final Sınavı|İlgili Bölümce Açıklanacak|Salı|09:00-11:00|19 Ağustos 2025|IKZ
30012|IKZ|516|Yönetim Analitiği|Çiğdem Kadaifçi Yanmaz|Final Sınavı|İlgili Bölümce Açıklanacak|Çarşamba|09:00-11:00|20 Ağustos 2025|IKZ
30033|IKZ|599|Dönem Projesi|Gaye Karaçay Aydın|Final Sınavı|İlgili Bölümce Açıklanacak|Pazartesi|09:00-11:00|18 Ağustos 2025|IKZ
30080|UCK|305E|Aerodynamics|Hayri Acar|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10, Ayazağa/Merkezi Derslik C Binası-2D18, Ayazağa/Merkezi Derslik C Binası-3D20|Çarşamba|12:00-14:00|20 Ağustos 2025|UCK
30081|UZB|310E|Compressible Aerodynamics|Hayri Acar|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10, Ayazağa/Merkezi Derslik C Binası-2D18|Perşembe|09:00-11:00|21 Ağustos 2025|UZB
30082|UCK|322E|Flight Mechanics|Hayri Acar|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10, Ayazağa/Merkezi Derslik C Binası-2D18|Perşembe|15:00-17:00|21 Ağustos 2025|UCK
30083|MTO|214|Atmosfer Termodinamiği|Kasım Koçak|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-ZA1|Perşembe|15:00-17:00|21 Ağustos 2025|MTO
30084|MTO|311E|Data Analysis|Kasım Koçak|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-2D18|Cuma|15:00-17:00|22 Ağustos 2025|MTO
30085|BIL|112E|Intr.to Prog.Language(FORTRAN)|Ahmet Öztopal|Final Sınavı|Ayazağa/İnşaat Binası-D101|Salı|12:00-14:00|19 Ağustos 2025|BIL
30086|MYZ|312|Meteorolojide Makine Öğrenmesi|Ahmet Öztopal|Final Sınavı|Ayazağa/İnşaat Binası-D101|Çarşamba|15:00-17:00|20 Ağustos 2025|MYZ
30087|MTO|340|Atmosfer Dinamiği II|Elçin Tan|Final Sınavı|Ayazağa/Merkezi Derslik C Binası-1D10|Cumartesi|12:00-14:00|16 Ağustos 2025|MTO
30088|BIL|100E|Intr.to Prog.Language(PYTHON)|Ahmet Öztopal|Final Sınavı|Ayazağa/İnşaat Binası-D101|Çarşamba|12:00-14:00|20 Ağustos 2025|BIL
30089|MAT|103E|Mathematics I|Burhaneddin İzgi|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A11, Ayazağa/Merkezi Derslik Binası-A12, Ayazağa/Merkezi Derslik Binası-A13|Cumartesi|15:00-17:00|16 Ağustos 2025|MAT
30090|MAT|103E|Mathematics I|Burhaneddin İzgi|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A14, Ayazağa/Merkezi Derslik Binası-A15, Ayazağa/Merkezi Derslik Binası-A16|Cumartesi|15:00-17:00|16 Ağustos 2025|MAT
30091|MAT|103E|Mathematics I|Soner Aydınlık|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A31, Ayazağa/Merkezi Derslik Binası-A32, Ayazağa/Merkezi Derslik Binası-A33, Ayazağa/Merkezi Derslik Binası-A34, Ayazağa/Merkezi Derslik Binası-A35, Ayazağa/Merkezi Derslik Binası-A36, Ayazağa/Merkezi Derslik Binası-B32|Cumartesi|15:00-17:00|16 Ağustos 2025|MAT
30092|MAT|103E|Mathematics I|Mehmet Ali Karaca|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D101, Ayazağa/Fen-Edebiyat Binası-D102, Ayazağa/Fen-Edebiyat Binası-D103, Ayazağa/Fen-Edebiyat Binası-D104, Ayazağa/Fen-Edebiyat Binası-D105, Ayazağa/Fen-Edebiyat Binası-D106|Cumartesi|15:00-17:00|16 Ağustos 2025|MAT
30093|MAT|103E|Mathematics I|Mehmet Ali Karaca|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D201, Ayazağa/Fen-Edebiyat Binası-D202, Ayazağa/Fen-Edebiyat Binası-D203, Ayazağa/Fen-Edebiyat Binası-D204, Ayazağa/Fen-Edebiyat Binası-D205, Ayazağa/Fen-Edebiyat Binası-D206|Cumartesi|15:00-17:00|16 Ağustos 2025|MAT
30094|MAT|104E|Mathematics II|Füsun Zengin|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A11, Ayazağa/Merkezi Derslik Binası-A12, Ayazağa/Merkezi Derslik Binası-A13|Cumartesi|09:00-11:00|16 Ağustos 2025|MAT
30095|MAT|104E|Mathematics II|Füsun Zengin|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A14, Ayazağa/Merkezi Derslik Binası-A15, Ayazağa/Merkezi Derslik Binası-A16|Cumartesi|09:00-11:00|16 Ağustos 2025|MAT
30096|MAT|104E|Mathematics II|Nurhan Çolakoğlu|Final Sınavı|Ayazağa/Merkezi Derslik Binası-A31, Ayazağa/Merkezi Derslik Binası-A32, Ayazağa/Merkezi Derslik Binası-A33|Cumartesi|09:00-11:00|16 Ağustos 2025|MAT
30097|MAT|104E|Mathematics II|Nurhan Çolakoğlu|Final Sınavı|Ayazağa/Merkezi Derslik Binası-B32, Ayazağa/Merkezi Derslik Binası-A34, Ayazağa/Merkezi Derslik Binası-A35, Ayazağa/Merkezi Derslik Binası-A36|Cumartesi|09:00-11:00|16 Ağustos 2025|MAT
30098|MAT|104E|Mathematics II|Sezgin Altay Demirbağ|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D101, Ayazağa/Fen-Edebiyat Binası-D102, Ayazağa/Fen-Edebiyat Binası-D103, Ayazağa/Fen-Edebiyat Binası-D104, Ayazağa/Fen-Edebiyat Binası-D105, Ayazağa/Fen-Edebiyat Binası-D106|Cumartesi|09:00-11:00|16 Ağustos 2025|MAT
30099|MAT|104E|Mathematics II|Sezgin Altay Demirbağ|Final Sınavı|Ayazağa/Fen-Edebiyat Binası-D201, Ayazağa/Fen-Edebiyat Binası-D202, Ayazağa/Fen-Edebiyat Binası-D203, Ayazağa/Fen-Edebiyat Binası-D204, Ayazağa/Fen-Edebiyat Binası-D205, Ayazağa/Fen-Edebiyat Binası-D206|Cumartesi|09:00-11:00|16 Ağustos 2025|MAT
